Form_ID,Form,Cognateset_ID,Alignment,Doubt,Cognate_detection_method,Cognate_source,Alignment_method,Alignment_source,Segment_slice
1427,ŋ ³³,290,ŋ - ³³,,expert,Hill2017,LingPy:SCA,,0:1
5524,ŋ ɑ ⁵⁵,290,ŋ ɑ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1429,ŋ ɔ ³¹,290,ŋ ɔ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
7123,ŋ a ⁵⁵,290,ŋ a ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1534,m ə i ³¹,308,m - ə i ³¹,,expert,Hill2017,LingPy:SCA,,0:1
5418,l e ⁵⁵,308,- l e - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1531,m i ³¹,308,m - i - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1533,m j i ²¹,308,m j i - ²¹,,expert,Hill2017,LingPy:SCA,,0:1
1539,m i ⁵⁵,308,m - i - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1538,p j i k ³¹,308,p j i k ³¹,,expert,Hill2017,LingPy:SCA,,0:1
7125,l i j ⁵⁵,308,- l i j ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1537,m e i ³³,308,m - e i ³³,,expert,Hill2017,LingPy:SCA,,0:1
5372,p j e ⁵³,318,p j e - ⁵³,,expert,Hill2017,LingPy:SCA,,0:1
1581,p ʐ ə ŋ ³⁵,318,p ʐ ə ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
1584,p j i ŋ ⁵⁵,318,p j i ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1586,p j a ŋ ³⁵,318,p j a ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
1589,p j əː ŋ ⁵⁵,318,p j əː ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1590,p j a ŋ ⁵⁵,318,p j a ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1592,p ɯ ŋ ³⁵,318,p - ɯ ŋ ³⁵,,expert,Hill2017,LingPy:SCA,,0:1
7127,p l a nʲ ⁵³,318,p l a nʲ ⁵³,,expert,Hill2017,LingPy:SCA,,0:1
5502,k ɑ̃ u ∼ ⁵⁵,330,k ɑ̃ u ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1655,k e ⁵¹,331,k e - ⁵¹,,expert,Hill2017,LingPy:SCA,,0:1
1656,k a i ⁵⁵,331,k a i ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1659,k ɛː ³¹,331,k ɛː - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1660,k a i ³¹,331,k a i ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1661,ɕ ɛ ⁵⁵,331,ɕ ɛ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1653,tɕ i ⁵⁵,331,tɕ i - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7129,k ʊ ŋ ⁵⁵,330,k ʊ - ŋ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1684,nʲ a u ⁵⁵,334,nʲ a u - - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1686,ŋ j u i ⁵¹,334,ŋ j u - i ⁵¹,,expert,Hill2017,LingPy:SCA,,0:1
1687,ŋ j u ŋ ⁵⁵,334,ŋ j u ŋ - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
1690,ŋ j aː u ³¹,334,ŋ j aː - u ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1691,ŋ j u k ³¹,334,ŋ j u k - ³¹,,expert,Hill2017,LingPy:SCA,,0:1
1692,ɲ a u ⁵⁵,334,ɲ a u - - ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7131,ts i m ⁵⁵,335,ts i m ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
7133,nʲ ə w,334,nʲ - ə w - -,,expert,Hill2017,LingPy:SCA,,0:1
5614,s ẽ ∼ ⁵⁵,335,s ẽ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6156,k ʐ a k ⁵⁵,48,k ʐ a k ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6210,ɣ ɔ̃ ∼ ³¹,49,ɣ ɔ̃ ∼ ³¹,,expert,Hill2017,LingPy:SCA,,0:1
6262,tʰ a n ⁵¹,1268,tʰ a n ⁵¹,,expert,Hill2017,LingPy:SCA,,0:1
6375,m ɑ ²²,47,m ɑ ²²,,expert,Hill2017,LingPy:SCA,,0:1
6483,k j ṵː ŋ ³³,1267,k j ṵː ŋ ³³,,expert,Hill2017,LingPy:SCA,,0:1
6547,k ʐ a k ⁵⁵,48,k ʐ a k ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
6613,ɣ ɔ̃ ∼ ⁵⁵,49,ɣ ɔ̃ ∼ ⁵⁵,,expert,Hill2017,LingPy:SCA,,0:1
