ID,Language_ID,Language_name,Parameter_ID,Value,Source,Comment
1A-yap,yape1248,Yapese,1A,Average,Hsu-1969;Jensen-et-al-1977a,
1A-yaq,yaqu1251,Yaqui,1A,Moderately small,Dedrick-and-Casad-1999;Kurath-and-Spicer-1947,
1A-yar,yare1248,Yareba,1A,Small,Weimer-and-Weimer-1972,
1A-yaw,nucl1454,Yawa,1A,Small,Jones-1986b,
1A-yay,bouy1240,Yay,1A,Average,Gedney-1965,
1A-yel,yele1255,Yelî Dnye,1A,Large,,
1A-yes,yess1239,Yessan-Mayo,1A,Moderately small,Foreman-and-Marten-1973,
1A-yey,yeyi1239,Yeyi,1A,Large,Gowlett-1997,
1A-yid,yidi1250,Yidiny,1A,Small,Dixon-1977a,
1A-yim,yima1243,Yimas,1A,Small,Foley-1991,
1A-yor,yoru1245,Yoruba,1A,Moderately small,Bamgbose-1966,
1A-yct,yuca1254,Yucatec,1A,Average,Straight-1976,
1A-yuc,yuch1247,Yuchi,1A,Large,Ballard-1975;Crawford-1973,
1A-ycn,yucu1253,Yucuna,1A,Moderately small,Schauer-and-Schauer-1967,
1A-yko,sout2750,Yukaghir (Kolyma),1A,Average,Maslova-1999,
1A-ytu,nort2745,Yukaghir (Tundra),1A,Average,Krejnovich-1968c;Krejnovich-1958,
1A-yul,yulu1243,Yulu,1A,Large,Boyeldieu-1987,
1A-yus,cent2128,Yupik (Siberian),1A,Moderately large,Krauss-1975,
1A-yur,yuro1248,Yurok,1A,Moderately large,Robins-1958,
1A-zan,zand1248,Zande,1A,Average,Tucker-and-Hackett-1959,
1A-zqc,copa1236,Zoque (Copainalá),1A,Moderately small,Wonderly-1951a,
1A-zul,zulu1248,Zulu,1A,Moderately large,Poulos-and-Bosch-1997;Doke-1961;Poulos-and-Msimang-1998;Canonici-1989;Doke-1926;Ziervogel-et-al-1981,
1A-zun,zuni1245,Zuni,1A,Average,Newman-1965;Walker-1972,
